LogFile Data Coherent Correlation Imaging:

---------------------------- Header -----------------------------------
Image Format Holograms: [960,972]
Image Format Reference-filtered : [960,972]
Image Format Flattened Holograms: [70,70]
Image Format Correlation matrix: [28800,28800]
Format: Float64
---------------------------- Data -----------------------------------
Frame_Nr:	 Timestamp:	 Helicitiy:	 State:	 Mode:	 Topography-Nr:	 Translation_y:	 Translation_x:	 FileName:
75	 28.637	 1	 1	 1-1	 1	 0.006	 0.005	 00075.bin	
76	 29.024	 1	 1	 1-1	 1	 -0.018	 -0.000	 00076.bin	
77	 29.411	 1	 1	 1-1	 1	 -0.007	 -0.001	 00077.bin	
78	 29.798	 1	 1	 1-1	 1	 -0.002	 -0.001	 00078.bin	
79	 30.185	 1	 1	 1-1	 1	 -0.002	 -0.010	 00079.bin	
80	 30.572	 1	 1	 1-1	 1	 -0.006	 -0.008	 00080.bin	
81	 30.959	 1	 1	 1-1	 1	 0.005	 -0.007	 00081.bin	
82	 31.346	 1	 1	 1-1	 1	 -0.004	 -0.004	 00082.bin	
83	 31.733	 1	 1	 1-1	 1	 -0.006	 0.000	 00083.bin	
84	 32.120	 1	 1	 1-1	 1	 -0.021	 -0.014	 00084.bin	
85	 32.507	 1	 1	 1-1	 1	 0.002	 -0.003	 00085.bin	
86	 32.894	 1	 1	 1-1	 1	 -0.005	 -0.008	 00086.bin	
87	 33.281	 1	 1	 1-1	 1	 0.014	 0.005	 00087.bin	
88	 33.668	 1	 1	 1-1	 1	 -0.003	 -0.005	 00088.bin	
89	 34.055	 1	 1	 1-1	 1	 -0.008	 -0.002	 00089.bin	
90	 34.442	 1	 1	 1-1	 1	 -0.008	 0.001	 00090.bin	
91	 34.828	 1	 1	 1-1	 1	 -0.006	 0.005	 00091.bin	
92	 35.214	 1	 1	 1-1	 1	 0.016	 -0.006	 00092.bin	
93	 35.603	 1	 1	 1-1	 1	 -0.002	 0.007	 00093.bin	
94	 35.988	 1	 1	 1-1	 1	 -0.008	 0.004	 00094.bin	
95	 36.376	 1	 1	 1-1	 1	 0.010	 -0.000	 00095.bin	
96	 36.764	 1	 1	 1-1	 1	 0.019	 -0.008	 00096.bin	
97	 37.150	 1	 1	 1-1	 1	 0.006	 -0.010	 00097.bin	
98	 37.538	 1	 1	 1-1	 1	 0.020	 -0.002	 00098.bin	
99	 37.925	 1	 1	 1-1	 1	 0.011	 -0.013	 00099.bin	
100	 38.313	 1	 1	 1-1	 1	 0.008	 -0.020	 00100.bin	
101	 61.201	 -1	 1	 1-1	 1	 -0.017	 -0.004	 00101.bin	
102	 61.588	 -1	 1	 1-1	 1	 -0.015	 -0.002	 00102.bin	
103	 61.975	 -1	 1	 1-1	 1	 -0.006	 0.001	 00103.bin	
104	 62.363	 -1	 1	 1-1	 1	 -0.000	 -0.005	 00104.bin	
105	 62.749	 -1	 1	 1-1	 1	 -0.001	 -0.010	 00105.bin	
106	 63.136	 -1	 1	 1-1	 1	 0.015	 0.004	 00106.bin	
107	 63.523	 -1	 1	 1-1	 1	 0.014	 -0.009	 00107.bin	
108	 63.910	 -1	 1	 1-1	 1	 0.005	 0.004	 00108.bin	
109	 64.297	 -1	 1	 1-1	 1	 -0.026	 -0.013	 00109.bin	
110	 64.684	 -1	 1	 1-1	 1	 0.005	 -0.004	 00110.bin	
111	 65.071	 -1	 1	 1-1	 1	 -0.005	 -0.013	 00111.bin	
112	 65.458	 -1	 1	 1-1	 1	 -0.008	 0.003	 00112.bin	
